Concentraciones horarias para NO2 red GDL 2007

Fecha,Hora,AGU,CEN,LDO,MIR,OBL
2007-01-13,1,16.000000,23.000000,29.000000,47.000000,24.000000
2007-01-13,2,13.000000,23.000000,29.000000,44.000000,24.000000
2007-01-13,3,28.000000,24.000000,28.000000,40.000000,26.000000
2007-01-13,4,63.000000,23.000000,24.000000,43.000000,24.000000
2007-01-13,5,84.000000,23.000000,26.000000,43.000000,23.000000
2007-01-13,6,47.000000,24.000000,28.000000,40.000000,21.000000
2007-01-13,7,62.000000,23.000000,24.000000,42.000000,23.000000
2007-01-13,8,60.000000,23.000000,24.000000,43.000000,20.000000
2007-01-13,9,121.000000,36.000000,25.000000,47.000000,21.000000
2007-01-13,10,105.000000,25.000000,27.000000,55.000000,24.000000
2007-01-13,11,45.000000,34.000000,30.000000,54.000000,24.000000
2007-01-13,12,29.000000,31.000000,18.000000,39.000000,22.000000
2007-01-13,13,17.000000,23.000000,16.000000,31.000000,17.000000
2007-01-13,14,16.000000,24.000000,12.000000,30.000000,18.000000
2007-01-13,15,16.000000,24.000000,11.000000,31.000000,22.000000
2007-01-13,16,13.000000,24.000000,17.000000,32.000000,19.000000
2007-01-13,17,13.000000,24.000000,25.000000,30.000000,21.000000
2007-01-13,18,12.000000,23.000000,35.000000,39.000000,24.000000
2007-01-13,19,15.000000,24.000000,55.000000,59.000000,31.000000
2007-01-13,20,20.000000,41.000000,53.000000,61.000000,53.000000
2007-01-13,21,19.000000,35.000000,52.000000,60.000000,57.000000
2007-01-13,22,33.000000,24.000000,38.000000,59.000000,41.000000
2007-01-13,23,38.000000,24.000000,39.000000,41.000000,25.000000
2007-01-13,24,26.000000,23.000000,29.000000,53.000000,34.000000
2007-01-14,1,82.000000,24.000000,33.000000,52.000000,28.000000
2007-01-14,2,102.000000,24.000000,36.000000,51.000000,28.000000
2007-01-14,3,92.000000,24.000000,34.000000,49.000000,24.000000
2007-01-14,4,116.000000,23.000000,32.000000,47.000000,29.000000
2007-01-14,5,79.000000,24.000000,32.000000,46.000000,28.000000
2007-01-14,6,65.000000,24.000000,32.000000,46.000000,23.000000
2007-01-14,7,72.000000,23.000000,29.000000,44.000000,26.000000
2007-01-14,8,42.000000,24.000000,26.000000,46.000000,24.000000
2007-01-14,9,58.000000,24.000000,25.000000,55.000000,24.000000
2007-01-14,10,53.000000,23.000000,43.000000,56.000000,27.000000
2007-01-14,11,27.000000,24.000000,27.000000,51.000000,25.000000
2007-01-14,12,18.000000,24.000000,20.000000,57.000000,26.000000
2007-01-14,13,13.000000,23.000000,23.000000,41.000000,21.000000
2007-01-14,14,12.000000,24.000000,18.000000,24.000000,21.000000
2007-01-14,15,12.000000,23.000000,12.000000,25.000000,19.000000
2007-01-14,16,12.000000,24.000000,11.000000,24.000000,11.000000
2007-01-14,17,11.000000,31.000000,13.000000,26.000000,11.000000
2007-01-14,18,12.000000,29.000000,13.000000,25.000000,13.000000
2007-01-14,19,12.000000,24.000000,24.000000,34.000000,16.000000
2007-01-14,20,13.000000,24.000000,25.000000,37.000000,19.000000
2007-01-14,21,12.000000,24.000000,22.000000,37.000000,17.000000
2007-01-14,22,12.000000,23.000000,24.000000,44.000000,19.000000
2007-01-14,23,12.000000,24.000000,24.000000,50.000000,20.000000
2007-01-14,24,25.000000,23.000000,27.000000,45.000000,21.000000
2007-01-15,1,30.000000,25.000000,27.000000,44.000000,22.000000
2007-01-15,2,17.000000,25.000000,22.000000,40.000000,21.000000
2007-01-15,3,17.000000,22.000000,26.000000,41.000000,21.000000
2007-01-15,4,13.000000,23.000000,17.000000,42.000000,23.000000
2007-01-15,5,12.000000,25.000000,16.000000,39.000000,22.000000
