Fecha,Hora,AGU,ATM,CEN,LDO,MIR,OBL,VAL
2008-01-14,15,,,,10.000000,2.000000,,8.000000
2008-01-14,16,,,,11.000000,2.000000,,8.000000
2008-01-14,17,,,,17.000000,3.000000,,9.000000
2008-01-14,18,,,,18.000000,5.000000,,19.000000
2008-01-14,19,,,,26.000000,6.000000,,25.000000
2008-01-14,20,,,,29.000000,6.000000,,28.000000
2008-01-14,21,,,,30.000000,6.000000,,24.000000
2008-01-14,22,,,,28.000000,7.000000,,20.000000
2008-01-14,23,,,,26.000000,5.000000,,10.000000
2008-01-15,00,,,,27.000000,2.000000,,11.000000
2008-01-15,01,,,,24.000000,2.000000,,8.000000
2008-01-15,02,,,,22.000000,2.000000,,5.000000
2008-01-15,03,,,,22.000000,3.000000,,6.000000
2008-01-15,04,,,,21.000000,2.000000,,7.000000
2008-01-15,05,,,,26.000000,11.000000,,8.000000
2008-01-15,06,,,,25.000000,13.000000,,25.000000
2008-01-15,07,,,,38.000000,12.000000,,30.000000
2008-01-15,08,,,,29.000000,12.000000,,32.000000
2008-01-15,09,,,,37.000000,13.000000,,32.000000
2008-01-15,10,,,,14.000000,13.000000,,33.000000
2008-01-15,11,,,,12.000000,9.000000,,12.000000
2008-01-15,12,,,,15.000000,4.000000,,10.000000
2008-01-15,13,,,,15.000000,3.000000,,11.000000
2008-01-15,14,,,,12.000000,3.000000,,8.000000
2008-01-15,15,,,,9.000000,2.000000,,9.000000
2008-01-15,16,,,,13.000000,2.000000,,8.000000
2008-01-15,17,,,,13.000000,2.000000,,11.000000
2008-01-15,18,,,,19.000000,3.000000,,17.000000
2008-01-15,19,,,,21.000000,4.000000,,23.000000
2008-01-15,20,,,,27.000000,8.000000,,21.000000
2008-01-15,21,,,,26.000000,8.000000,,19.000000
2008-01-15,22,,,,22.000000,6.000000,,11.000000
2008-01-15,23,,,,18.000000,6.000000,,14.000000
2008-01-16,00,,,,13.000000,3.000000,,10.000000
2008-01-16,01,,,,18.000000,1.000000,,8.000000
2008-01-16,02,,,,9.000000,1.000000,,5.000000
2008-01-16,03,,,,10.000000,1.000000,,4.000000
2008-01-16,04,,,,15.000000,1.000000,,5.000000
2008-01-16,05,,,,21.000000,10.000000,,8.000000
2008-01-16,06,,,,24.000000,10.000000,,20.000000
2008-01-16,07,,,,41.000000,9.000000,,23.000000
2008-01-16,08,,,,57.000000,8.000000,,25.000000
2008-01-16,09,,,,44.000000,23.000000,,23.000000
2008-01-16,10,,,,30.000000,18.000000,,30.000000
2008-01-16,11,,,,14.000000,3.000000,,7.000000
2008-01-16,12,,,23.000000,9.000000,2.000000,,6.000000
2008-01-16,13,,,33.000000,9.000000,2.000000,,7.000000
2008-01-16,14,,,40.000000,9.000000,2.000000,,8.000000
2008-01-16,15,,,43.000000,10.000000,2.000000,,7.000000
2008-01-16,16,,,49.000000,10.000000,2.000000,,11.000000
2008-01-16,17,,,55.000000,12.000000,2.000000,,17.000000
2008-01-16,18,,,69.000000,25.000000,3.000000,,27.000000
2008-01-16,19,,,81.000000,38.000000,11.000000,,33.000000
2008-01-16,20,,,80.000000,30.000000,7.000000,,27.000000
2008-01-16,21,,,74.000000,28.000000,5.000000,,20.000000
2008-01-16,22,,,76.000000,28.000000,4.000000,,13.000000
2008-01-16,23,,,77.000000,24.000000,5.000000,,16.000000
2008-01-17,00,,,77.000000,22.000000,11.000000,,20.000000
2008-01-17,01,,,71.000000,29.000000,13.000000,,19.000000
2008-01-17,02,,,65.000000,27.000000,14.000000,,13.000000
2008-01-17,03,,,62.000000,19.000000,14.000000,,26.000000
2008-01-17,04,,,64.000000,13.000000,13.000000,,22.000000
2008-01-17,05,,,65.000000,20.000000,12.000000,,24.000000
2008-01-17,06,,,66.000000,31.000000,11.000000,,30.000000
2008-01-17,07,,,69.000000,48.000000,6.000000,,33.000000
2008-01-17,08,,,77.000000,67.000000,9.000000,,43.000000
2008-01-17,09,,,79.000000,39.000000,18.000000,,66.000000
2008-01-17,10,,,68.000000,21.000000,10.000000,,75.000000
