Fecha,Hora,AGU,ATM,LDO,MIR,OBL,PIN,TLA,VAL
2012-01-08,18,12.000000,55.000000,160.000000,65.000000,184.000000,113.000000,76.000000,19.000000
2012-01-08,19,13.000000,49.000000,120.000000,59.000000,65.000000,122.000000,62.000000,14.000000
2012-01-08,20,10.000000,35.000000,67.000000,35.000000,85.000000,131.000000,55.000000,17.000000
2012-01-08,21,7.000000,39.000000,61.000000,78.000000,90.000000,78.000000,73.000000,9.000000
2012-01-08,22,6.000000,50.000000,70.000000,23.000000,67.000000,68.000000,65.000000,11.000000
2012-01-08,23,9.000000,39.000000,69.000000,31.000000,80.000000,71.000000,83.000000,15.000000
2012-01-09,00,9.000000,47.000000,69.000000,43.000000,80.000000,56.000000,83.000000,12.000000
2012-01-09,01,8.000000,40.000000,46.000000,57.000000,72.000000,56.000000,54.000000,8.000000
2012-01-09,02,6.000000,31.000000,41.000000,46.000000,50.000000,95.000000,51.000000,8.000000
2012-01-09,03,7.000000,31.000000,33.000000,41.000000,64.000000,175.000000,59.000000,11.000000
2012-01-09,04,9.000000,25.000000,31.000000,40.000000,56.000000,73.000000,51.000000,11.000000
2012-01-09,05,11.000000,26.000000,34.000000,47.000000,69.000000,60.000000,56.000000,11.000000
2012-01-09,06,12.000000,43.000000,58.000000,72.000000,88.000000,221.000000,69.000000,13.000000
2012-01-09,07,19.000000,58.000000,76.000000,125.000000,137.000000,201.000000,110.000000,23.000000
2012-01-09,08,23.000000,112.000000,137.000000,175.000000,118.000000,253.000000,98.000000,25.000000
2012-01-09,09,22.000000,115.000000,248.000000,130.000000,82.000000,234.000000,95.000000,23.000000
2012-01-09,10,19.000000,112.000000,242.000000,127.000000,36.000000,114.000000,81.000000,19.000000
2012-01-09,11,6.000000,75.000000,98.000000,63.000000,20.000000,83.000000,40.000000,11.000000
2012-01-09,12,8.000000,46.000000,81.000000,44.000000,47.000000,75.000000,55.000000,14.000000
2012-01-09,13,12.000000,48.000000,109.000000,35.000000,72.000000,65.000000,59.000000,10.000000
2012-01-09,14,9.000000,43.000000,107.000000,33.000000,108.000000,52.000000,53.000000,10.000000
2012-01-09,15,9.000000,25.000000,78.000000,24.000000,50.000000,58.000000,40.000000,8.000000
2012-01-09,16,10.000000,22.000000,69.000000,30.000000,63.000000,48.000000,33.000000,9.000000
2012-01-09,17,6.000000,33.000000,78.000000,27.000000,81.000000,97.000000,43.000000,9.000000
2012-01-09,18,9.000000,28.000000,104.000000,31.000000,98.000000,142.000000,41.000000,11.000000
2012-01-09,19,14.000000,46.000000,148.000000,46.000000,64.000000,133.000000,67.000000,15.000000
2012-01-09,20,16.000000,54.000000,170.000000,36.000000,125.000000,180.000000,61.000000,19.000000
2012-01-09,21,14.000000,87.000000,127.000000,31.000000,130.000000,137.000000,75.000000,17.000000
2012-01-09,22,12.000000,101.000000,77.000000,135.000000,166.000000,118.000000,91.000000,14.000000
2012-01-09,23,14.000000,111.000000,48.000000,129.000000,153.000000,139.000000,77.000000,16.000000
2012-01-10,00,18.000000,78.000000,66.000000,66.000000,108.000000,150.000000,60.000000,22.000000
2012-01-10,01,14.000000,63.000000,26.000000,48.000000,84.000000,121.000000,58.000000,14.000000
2012-01-10,02,14.000000,49.000000,21.000000,56.000000,61.000000,72.000000,50.000000,18.000000
2012-01-10,03,16.000000,41.000000,25.000000,56.000000,43.000000,55.000000,45.000000,15.000000
2012-01-10,04,13.000000,32.000000,36.000000,63.000000,48.000000,93.000000,43.000000,14.000000
2012-01-10,05,15.000000,31.000000,53.000000,66.000000,68.000000,126.000000,52.000000,12.000000
2012-01-10,06,20.000000,49.000000,65.000000,86.000000,87.000000,183.000000,74.000000,11.000000
2012-01-10,07,23.000000,68.000000,53.000000,154.000000,118.000000,251.000000,75.000000,23.000000
2012-01-10,08,33.000000,113.000000,95.000000,201.000000,136.000000,334.000000,154.000000,41.000000
2012-01-10,09,39.000000,91.000000,153.000000,111.000000,150.000000,226.000000,92.000000,49.000000
2012-01-10,10,21.000000,59.000000,62.000000,80.000000,92.000000,136.000000,67.000000,30.000000
2012-01-10,11,15.000000,59.000000,102.000000,46.000000,84.000000,56.000000,62.000000,22.000000
2012-01-10,12,8.000000,49.000000,106.000000,26.000000,118.000000,48.000000,52.000000,5.000000
2012-01-10,13,7.000000,28.000000,115.000000,18.000000,66.000000,49.000000,40.000000,5.000000
2012-01-10,14,2.000000,16.000000,97.000000,27.000000,40.000000,55.000000,36.000000,2.000000
2012-01-10,15,6.000000,21.000000,108.000000,27.000000,34.000000,59.000000,42.000000,8.000000
2012-01-10,16,6.000000,21.000000,97.000000,26.000000,50.000000,62.000000,37.000000,8.000000
2012-01-10,17,9.000000,39.000000,108.000000,33.000000,114.000000,121.000000,52.000000,11.000000
2012-01-10,18,13.000000,75.000000,255.000000,50.000000,113.000000,201.000000,73.000000,13.000000
2012-01-10,19,17.000000,75.000000,177.000000,72.000000,111.000000,176.000000,84.000000,15.000000
2012-01-10,20,21.000000,81.000000,152.000000,2.000000,151.000000,157.000000,120.000000,24.000000
2012-01-10,21,12.000000,112.000000,145.000000,90.000000,149.000000,235.000000,147.000000,23.000000
2012-01-10,22,14.000000,109.000000,132.000000,152.000000,229.000000,168.000000,155.000000,20.000000
2012-01-10,23,17.000000,95.000000,88.000000,163.000000,254.000000,249.000000,77.000000,15.000000
2012-01-11,00,18.000000,65.000000,73.000000,196.000000,184.000000,276.000000,74.000000,19.000000
2012-01-11,01,19.000000,52.000000,54.000000,150.000000,155.000000,269.000000,73.000000,12.000000
2012-01-11,02,13.000000,42.000000,100.000000,105.000000,122.000000,179.000000,84.000000,14.000000
2012-01-11,03,13.000000,33.000000,77.000000,79.000000,81.000000,175.000000,53.000000,13.000000
2012-01-11,04,25.000000,31.000000,69.000000,76.000000,57.000000,271.000000,48.000000,10.000000
