Fecha,Hora,AGU,CEN,LDO,MIR,OBL,VAL
2009-01-06,05,21.000000,27.000000,39.000000,19.000000,,22.000000
2009-01-06,06,15.000000,20.000000,43.000000,23.000000,,23.000000
2009-01-06,07,20.000000,25.000000,43.000000,19.000000,,31.000000
2009-01-06,08,23.000000,24.000000,58.000000,26.000000,,27.000000
2009-01-06,09,18.000000,20.000000,57.000000,25.000000,,28.000000
2009-01-06,10,20.000000,28.000000,51.000000,13.000000,39.000000,30.000000
2009-01-06,11,15.000000,27.000000,38.000000,10.000000,43.000000,29.000000
2009-01-06,12,6.000000,11.000000,27.000000,6.000000,50.000000,20.000000
2009-01-06,13,6.000000,12.000000,21.000000,5.000000,48.000000,20.000000
2009-01-06,14,6.000000,11.000000,20.000000,6.000000,47.000000,20.000000
2009-01-06,15,7.000000,11.000000,20.000000,6.000000,48.000000,22.000000
2009-01-06,16,7.000000,13.000000,20.000000,7.000000,48.000000,20.000000
2009-01-06,17,10.000000,15.000000,28.000000,15.000000,49.000000,22.000000
2009-01-06,18,24.000000,25.000000,47.000000,25.000000,57.000000,28.000000
2009-01-06,19,29.000000,32.000000,58.000000,24.000000,66.000000,35.000000
2009-01-06,20,28.000000,32.000000,64.000000,24.000000,47.000000,39.000000
2009-01-06,21,28.000000,31.000000,68.000000,23.000000,52.000000,33.000000
2009-01-06,22,26.000000,31.000000,66.000000,23.000000,91.000000,36.000000
2009-01-06,23,26.000000,30.000000,65.000000,21.000000,79.000000,31.000000
2009-01-07,00,24.000000,28.000000,61.000000,21.000000,84.000000,25.000000
2009-01-07,01,24.000000,26.000000,58.000000,20.000000,68.000000,22.000000
2009-01-07,02,22.000000,18.000000,47.000000,18.000000,59.000000,20.000000
2009-01-07,03,17.000000,24.000000,44.000000,17.000000,52.000000,24.000000
2009-01-07,04,15.000000,19.000000,43.000000,19.000000,54.000000,23.000000
2009-01-07,05,18.000000,24.000000,34.000000,15.000000,52.000000,25.000000
2009-01-07,06,17.000000,25.000000,53.000000,17.000000,54.000000,27.000000
2009-01-07,07,14.000000,24.000000,61.000000,18.000000,63.000000,31.000000
2009-01-07,08,20.000000,32.000000,66.000000,23.000000,78.000000,34.000000
2009-01-07,09,38.000000,42.000000,76.000000,26.000000,89.000000,55.000000
